CustomerID,CustomerName,CustomerAddress,CustomerContactNo
7169462,Wayne Johnson,3563-Willow Avenue,2783812972
5360240,Andrew Harrington,2080 -Williams Street,2776270634
4021878,William Stevenson,2937 -Pleasant Street,8181495721
3674011,Vanessa Beltran MD,4373 -Ann Street,9433134938
1570408,William Clark,3637 -John Street,8417880609
3506939,John Bowman,4858 -Garfield Avenue,6466324856
7608703,Christopher Moore,2079 -Jefferson Avenue,5205125191
2194801,William Brown,2402 -King Street,1689422196
7463180,Christopher King,938 -Olive Street,9688643922
4748935,Mr. Jeffrey Ochoa,3462 -John Street,9860583745
8960369,Douglas Lewis,2909 -Court Street,8924288916
204516,Keith Freeman,2224 -Cedar Lane,1325859025
3261077,Adriana Estrada,3498 -Garfield Avenue,3486215619
3050909,Lori Ward,1687 -Windsor Drive,9598586317
220791,Brooke Hernandez,1666 -Crescent Street,4434151177
3095865,Bobby Martinez,2178 -Clay Street,4176669776
3766841,Kelly Rivera,822 -Grand Avenue,8376639139
1460427,Kristi Hodges,2284 -River Street,2730666448
669909,Duane Rodriguez,1805 -Hanover Court,7685898177
6998822,Barbara Sanchez,4720 -Franklin Court,5458046423
6666299,Kimberly Taylor,3443 -Pleasant Street,4427525708
8908748,Kyle Walker,1927 -Williams Street,7880698099
6692697,Benjamin Lindsey,3576 -Ann Street,7795877933
9074478,Danielle Todd,4911 -Laurel Drive,3646049514
7567797,Gary Garcia,1101 -Laurel Drive,6491561572
4532246,Chris Howard,743 -Jefferson Avenue,3699919330
1390738,Erin Hernandez,2083 -Pleasant Street,5789242349
9410800,Jennifer Owens,1415 -Laurel Lane,6197886135
1011032,Vernon Brown,2440 -Crescent Street,3770022568
9941322,Kyle Wheeler,4746 -Arlington Avenue,9491656235
7066611,Jason Webb,313 -White Street,5080252028
7833753,Megan Thompson,3207 -Willow Avenue,9475293239
5648090,Joshua Smith,3346 -Franklin Court,3569406188
8472698,Mark Thompson,4588 -Monroe Street,2487968325
6454218,Timothy Miranda,3031 -Forest Street,4116566176
5331775,Amy Romero,4253 -Madison Avenue,7563277019
1196126,Troy Sullivan,1322 -River Street,1924544167
1768393,Jennifer Flores,2429 -Woodland Drive,5141477092
6877298,Jesse Smith,4106 -Rose Street,2380851698
656978,Duane Boyd,1895 -Franklin Court,6801542957
3383978,Michelle Castillo,2336 -Garfield Avenue,3413704126
9199762,Luis Walters,1764 -Williams Street,8685691670
3056997,Timothy Elliott,4821 -Atlantic Avenue,8108454185
